x-axis,y-axis,z-axis,number
-4.4718324,4.8640984,1.8828768,2
20.0447926,-7.6099604,5.6486304,2
1.3337044,-2.1966896,-4.8640984,2
6.1585762,-8.1983594,-0.8237586,2
6.3154826,-6.8254284,1.2160246,2
-0.0392266,-2.5889556,2.1574630,2
-8.9828914,4.3541526,2.2751428,2
-15.0630144,10.3165958,2.8243152,2
-17.8088764,14.3569356,4.4326058,2
-18.0834626,14.6315218,5.8055368,2
-18.6326350,14.4353888,5.6486304,2
-15.4945070,14.5138420,5.6486304,2
-10.3950490,11.2188076,5.2171378,2
-6.1193496,9.4536106,4.2756994,2
-2.4320492,7.8845466,3.7265270,2
-0.2353596,6.2370294,3.4911674,2
1.0983448,5.1386846,3.3342610,2
2.3535960,4.4326058,3.2950344,2
1.9613300,4.9425516,3.6088472,2
0.2353596,6.3154826,3.1773546,2
0.5491724,6.6292954,2.9812216,2
-1.5690640,6.9038816,2.8635418,2
-2.7458620,6.4723890,2.6281822,2
-4.5502856,5.4524974,2.1182364,2
-5.6094038,4.8640984,1.4513842,2
-6.9823348,3.6088472,1.4513842,2
-6.7077486,4.1972462,2.1182364,2
-4.0795664,3.1381280,0.8237586,2
-4.0795664,3.8442068,0.7060788,2
-4.3541526,1.6475172,1.2944778,2
-5.2171378,2.5105024,1.2552512,2
-5.3740442,2.3143694,1.4513842,2
-6.2370294,3.4127142,1.1767980,2
-7.2569210,4.2756994,1.0983448,2
-9.1790244,5.0602314,0.9022118,2
-11.4149406,5.4524974,0.9022118,2
-14.3961622,7.1784678,0.4314926,2
-16.5143986,6.9431082,0.5099458,2
-16.9066646,7.5315072,0.4707192,2
-15.6514134,5.1779112,0.6276256,2
-14.5530686,4.8248718,-0.5099458,2
-14.1608026,2.6281822,-0.9806650,2
-14.2000292,1.6082906,-1.8436502,2
-13.8862164,-0.5491724,-2.7066354,2
-11.2188076,-9.1397978,-2.9812216,2
-16.2005858,-8.0806796,-3.6873004,2
-15.8083198,-9.2182510,-3.2950344,2
-18.6718616,-7.4138274,-3.8049802,2
-19.2994872,-6.9431082,-3.7265270,2
-19.6917532,-6.7469752,-3.3342610,2
-19.4563936,-7.1784678,-3.2950344,2
-18.9464478,-7.1000146,-3.3342610,2
-17.4950636,-5.6486304,-3.0989014,2
-15.9259996,-4.0011132,-2.5105024,2
-14.9453346,-2.7458620,-2.1966896,2
-15.0630144,-2.3143694,-2.1574630,2
-15.5337336,-2.6674088,-2.0397832,2
-15.8083198,-3.4127142,-2.1966896,2
-15.5729602,-3.8442068,-2.4712758,2
-14.9453346,-5.1779112,-2.3143694,2
-14.2000292,-5.1779112,-2.7458620,2
-12.8663248,-6.2370294,-3.0204482,2
-12.0817928,-7.4138274,-3.2950344,2
-11.7679800,-8.1199062,-3.8442068,2
-12.0817928,-9.6497436,-4.3541526,2
-12.4740588,-10.7480884,-4.8640984,2
-12.5525120,-10.6696352,-4.9033250,2
-10.5519554,-9.2574776,-4.6287388,2
-7.9629998,-6.4723890,-4.0403398,2
-5.1779112,-3.0989014,-3.3342610,2
-3.0596748,-0.8629852,-2.5105024,2
-1.5298374,0.1176798,-1.9613300,2
-0.3138128,-0.0392266,-1.7651970,2
0.2745862,-0.7845320,-1.3729310,2
1.0983448,-1.6082906,-1.5298374,2
0.7845320,-2.0790098,-1.1767980,2
1.1375714,-1.6475172,-0.7453054,2
2.1574630,-0.0784532,-0.4314926,2
2.7850886,1.6867438,0.1961330,2
2.0790098,4.3933792,0.5491724,2
1.5690640,4.2756994,1.6867438,2
-0.2353596,5.2563644,2.2359162,2
-1.6867438,6.4723890,2.8635418,2
-2.7850886,7.9237732,3.6873004,2
-3.7265270,9.4928372,4.0795664,2
-3.9618866,10.7480884,4.5502856,2
-3.8442068,11.6110736,4.2364728,2
-5.1386846,11.0619012,3.5303940,2
-6.4331624,8.7867584,3.0596748,2
-6.7469752,5.0994580,2.9027684,2
-7.3746008,3.2950344,2.9419950,2
-6.7469752,3.8834334,3.2950344,2
-7.7276402,7.4138274,2.9812216,2
-7.4922806,11.1011278,3.3342610,2
-7.4530540,11.6503002,4.4326058,2
-7.6884136,12.4740588,4.4326058,2
-7.6099604,11.1403544,4.3149260,2
-6.8646550,9.2574776,4.0011132,2
-6.3547092,7.8845466,3.4519408,2
-5.9624432,7.2569210,3.2558078,2
-5.2563644,7.0215614,3.1381280,2
-5.1779112,7.6099604,2.9812216,2
-5.2171378,7.8060934,2.8243152,2
-5.8447634,7.7668668,2.6281822,2
-6.5116156,7.2176944,2.5889556,2
-6.4723890,6.7077486,2.5105024,2
-6.1585762,6.9431082,2.5497290,2
-6.2370294,7.6099604,2.6281822,2
-5.6486304,8.7083052,2.8243152,2
-4.9425516,10.2381426,2.5497290,2
-4.5502856,11.5326204,1.8436502,2
-4.2756994,11.1403544,0.7845320,2
-4.5895122,9.0613446,-0.6668522,2
-5.8447634,6.0801230,-2.1182364,2
-7.7668668,3.8049802,-3.0989014,2
-9.8458766,2.2751428,-3.7657536,2
-11.4541672,1.0983448,-4.3149260,2
-11.8856598,0.1569064,-4.6287388,2
-10.8657682,-0.6668522,-4.7464186,2
-10.5911820,-0.9414384,-5.5701772,2
-11.8072066,-1.0591182,-6.4331624,2
-12.8663248,-2.8243152,-7.3353742,2
-14.3177090,-6.2762560,-8.0806796,2
-15.2983740,-6.8254284,-9.6889702,2
-14.6707484,-11.3757140,-9.0613446,2
-13.0624578,-12.0817928,-8.9044382,2
-12.2779258,-10.5911820,-9.0221180,2
-11.5718470,-9.4143840,-8.9436648,2
-12.3171524,-8.1199062,-9.3751574,2
-13.1801376,-8.1983594,-9.2574776,2
-14.4746154,-8.5121722,-9.1397978,2
-15.2983740,-7.9629998,-8.6690786,2
-15.6514134,-6.0408964,-7.9237732,2
-15.8083198,-3.7657536,-7.1784678,2
-15.1414676,-2.5889556,-6.6685220,2
-13.7293100,-2.2751428,-6.7469752,2
-12.6701918,-2.7458620,-6.8254284,2
-12.3956056,-3.5303940,-6.8646550,2
